               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046569,            0.064123,            0.022644,             0.73391,             0.63137,             0.71593,             0.47318,            0.040784,            0.037128,           0.0095785,              0.0937,              0.0007,              0.0007
                   1,            0.045889,            0.070736,            0.023186,             0.75672,              0.6374,             0.72866,             0.48006,            0.040503,            0.037484,           0.0088025,            0.086495,            0.001495,            0.001495
                   2,            0.044975,            0.061585,            0.021393,             0.74381,             0.65163,             0.73083,             0.49575,            0.040259,            0.037338,           0.0084273,            0.079285,           0.0022848,           0.0022848
                   3,              0.0473,            0.059296,            0.023999,               0.749,             0.66173,              0.7403,             0.49848,            0.040101,              0.0372,           0.0080702,            0.072069,           0.0030693,           0.0030693
                   4,             0.04483,            0.064199,             0.02219,             0.72592,             0.67967,             0.75309,             0.47948,            0.040962,            0.037664,           0.0078226,            0.064849,           0.0038485,           0.0038485
                   5,            0.045804,            0.060324,            0.020147,             0.69672,             0.65739,             0.73513,             0.45307,            0.045285,            0.037643,           0.0075633,            0.057622,           0.0046225,           0.0046225
                   6,            0.048678,            0.059257,            0.019509,             0.67229,             0.69232,             0.75588,             0.48738,            0.044417,            0.036172,           0.0071186,            0.050391,           0.0053911,           0.0053911
                   7,            0.045902,            0.055059,            0.017196,              0.6656,             0.67318,             0.69756,             0.39929,            0.049971,            0.035571,           0.0068328,            0.043154,           0.0061545,           0.0061545
                   8,            0.050523,            0.059979,            0.017514,             0.74147,             0.69914,             0.76831,              0.4366,            0.046272,            0.034453,           0.0062122,            0.035913,           0.0069126,           0.0069126
                   9,            0.050727,            0.057554,            0.015551,             0.69626,             0.72315,             0.76337,             0.46615,            0.046078,            0.034387,           0.0060768,            0.028665,           0.0076654,           0.0076654
                  10,            0.050621,            0.067726,            0.014026,             0.72305,             0.72015,             0.76781,             0.46813,             0.04671,            0.034222,           0.0060649,            0.021413,           0.0084129,           0.0084129
                  11,            0.050193,             0.05511,            0.015804,             0.69337,             0.73212,             0.76877,             0.46826,            0.044147,            0.034246,           0.0060103,            0.014155,           0.0091552,           0.0091552
                  12,            0.047305,            0.057415,            0.015382,             0.73468,             0.71753,             0.78549,             0.48374,            0.043823,            0.033633,           0.0059553,            0.009604,            0.009604,            0.009604
                  13,            0.048075,            0.056402,            0.013444,             0.77146,             0.72672,             0.79407,             0.47102,            0.045764,            0.033016,           0.0057898,            0.009604,            0.009604,            0.009604
                  14,            0.049007,            0.058013,             0.01391,             0.75034,             0.73221,             0.79168,              0.4767,            0.044632,            0.033604,           0.0060264,            0.009571,            0.009571,            0.009571
                  15,            0.047933,            0.055962,            0.013888,             0.75054,             0.76644,             0.79658,             0.49211,              0.0443,            0.033539,           0.0062126,            0.009538,            0.009538,            0.009538
                  16,            0.046009,            0.054004,            0.011821,             0.77686,             0.73675,             0.80113,             0.46693,            0.044535,            0.033473,           0.0063986,            0.009505,            0.009505,            0.009505
                  17,            0.046308,            0.052837,            0.013522,             0.79358,             0.75045,             0.82546,             0.49086,            0.042555,            0.032056,             0.00597,            0.009472,            0.009472,            0.009472
                  18,            0.047411,            0.061148,            0.014606,              0.7939,              0.6804,             0.78632,             0.45851,            0.043349,            0.034119,           0.0072092,            0.009439,            0.009439,            0.009439
                  19,            0.046981,            0.054701,             0.01336,             0.78155,             0.68669,             0.78398,             0.47779,            0.044037,            0.034644,           0.0069339,            0.009406,            0.009406,            0.009406
                  20,              0.0466,            0.053737,            0.013002,             0.75819,             0.77218,             0.83464,             0.51062,            0.042496,            0.031502,           0.0055648,            0.009373,            0.009373,            0.009373
