               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10922,            0.028699,                   0,          0.00055556,             0.15385,          0.00033857,           4.911e-05,             0.11217,            0.024514,                   0,              0.0964,              0.0004,              0.0004
                   1,            0.099731,            0.028212,                   0,          0.00083333,             0.23077,          0.00054058,          8.7933e-05,             0.10964,            0.024058,                   0,            0.091896,          0.00089554,          0.00089554
                   2,            0.097675,            0.028028,                   0,          0.00083333,             0.23077,          0.00055476,          0.00012461,             0.10626,            0.023556,                   0,            0.087386,           0.0013861,           0.0013861
                   3,             0.10056,            0.027451,                   0,           0.0022222,             0.61538,           0.0020014,          0.00081122,             0.10291,            0.023112,                   0,            0.082872,           0.0018718,           0.0018718
                   4,            0.098139,            0.027453,                   0,           0.0019444,             0.53846,           0.0025826,           0.0010996,             0.09966,            0.022752,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.093993,            0.028124,                   0,           0.0022222,             0.61538,           0.0027484,           0.0011239,            0.096109,            0.022455,                   0,            0.073828,           0.0028282,           0.0028282
                   6,             0.08912,            0.026623,                   0,           0.0022222,             0.61538,           0.0022927,          0.00084204,            0.092755,            0.022151,                   0,            0.069299,            0.003299,            0.003299
                   7,            0.086373,            0.027084,                   0,           0.0022222,             0.61538,           0.0027852,          0.00085375,            0.089321,            0.021804,                   0,            0.064765,           0.0037649,           0.0037649
                   8,            0.086183,            0.026366,                   0,           0.0019444,             0.53846,           0.0026986,          0.00095862,            0.086312,            0.021402,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.083496,            0.026951,                   0,           0.0016667,             0.46154,           0.0024525,            0.000763,             0.08339,            0.020979,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.082889,            0.024704,                   0,           0.0016667,             0.46154,           0.0024521,          0.00082419,            0.079437,            0.020567,                   0,            0.051133,           0.0051327,           0.0051327
                  11,            0.080871,            0.026148,                   0,           0.0016667,             0.46154,           0.0028227,           0.0010825,            0.075786,            0.020151,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.080228,            0.025193,                   0,           0.0022222,             0.61538,           0.0034203,          0.00088228,            0.072136,            0.019674,                   0,             0.04202,           0.0060198,           0.0060198
                  13,            0.079137,            0.024337,                   0,           0.0022222,             0.61538,           0.0026854,           0.0009181,            0.069692,            0.019037,                   0,            0.037456,            0.006456,            0.006456
                  14,            0.078934,            0.023941,                   0,           0.0016667,             0.46154,           0.0071742,           0.0018598,            0.069474,            0.017897,                   0,            0.032887,           0.0068872,           0.0068872
                  15,            0.078135,            0.025658,                   0,              0.0025,             0.69231,           0.0079592,           0.0019046,            0.070832,            0.016878,                   0,            0.028313,           0.0073134,           0.0073134
                  16,            0.076236,            0.023742,                   0,           0.0019444,             0.53846,           0.0028078,          0.00074268,            0.068952,            0.016814,                   0,            0.023735,           0.0077347,           0.0077347
                  17,            0.077061,            0.023691,                   0,           0.0019444,             0.53846,           0.0029528,          0.00074033,             0.06879,            0.016567,                   0,            0.019151,           0.0081511,           0.0081511
                  18,            0.074555,            0.024124,                   0,           0.0019444,             0.53846,           0.0029735,          0.00087417,            0.073741,            0.015272,                   0,            0.014562,           0.0085625,           0.0085625
                  19,            0.077148,            0.025023,                   0,           0.0019444,             0.53846,           0.0060538,           0.0016686,            0.075024,            0.015486,                   0,           0.0099689,           0.0089689,           0.0089689
