               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10577,             0.02536,             0.02934,           0.0015569,             0.21627,           0.0013578,          0.00043768,            0.077634,            0.018797,            0.028133,              0.0847,              0.0017,              0.0017
                   1,            0.084493,             0.02708,            0.024756,             0.61028,             0.16138,            0.010994,           0.0032516,            0.065344,            0.018807,            0.022689,            0.068479,            0.003479,            0.003479
                   2,            0.075558,            0.025801,            0.021309,             0.63147,            0.064203,            0.076074,            0.027751,            0.058873,            0.018217,            0.019925,            0.052236,           0.0052364,           0.0052364
                   3,            0.070851,            0.024209,            0.019485,             0.65383,             0.17057,             0.14917,            0.061947,            0.060269,            0.015746,            0.016664,            0.035972,           0.0069722,           0.0069722
                   4,            0.069686,            0.022396,            0.017524,             0.62552,             0.21441,             0.18884,            0.079269,            0.058664,            0.018304,            0.013351,            0.019686,           0.0086864,           0.0086864
                   5,            0.067027,            0.020933,            0.015711,             0.54284,             0.25041,             0.18344,            0.072252,            0.056222,            0.028179,            0.012963,              0.0097,              0.0097,              0.0097
                   6,            0.064503,            0.021227,            0.015142,             0.62624,             0.14362,             0.14812,            0.059042,            0.058752,            0.036064,            0.010917,              0.0097,              0.0097,              0.0097
                   7,            0.061772,            0.020321,            0.014308,              0.6221,             0.32005,             0.24835,             0.11151,            0.049636,            0.025529,             0.01011,             0.00964,             0.00964,             0.00964
                   8,            0.060132,            0.020674,            0.013753,             0.66354,             0.32099,             0.31057,             0.13497,            0.048365,            0.018196,           0.0090958,             0.00958,             0.00958,             0.00958
                   9,            0.058543,            0.020384,            0.013285,              0.5194,             0.36321,             0.32084,             0.14129,            0.048027,            0.015326,           0.0089635,             0.00952,             0.00952,             0.00952
                  10,            0.059029,             0.02044,            0.012737,             0.55297,             0.39358,             0.35876,             0.16653,            0.044291,             0.01324,            0.008314,             0.00946,             0.00946,             0.00946
                  11,            0.057178,            0.020936,            0.012565,             0.50973,             0.32577,               0.311,             0.14366,             0.04953,            0.013355,           0.0086403,              0.0094,              0.0094,              0.0094
                  12,            0.056615,            0.020637,            0.012305,             0.60025,              0.3892,             0.34896,             0.16498,            0.045685,            0.013003,            0.010052,             0.00934,             0.00934,             0.00934
                  13,            0.055909,            0.019061,            0.012176,             0.49158,             0.38686,             0.33408,             0.17121,            0.045026,            0.013024,              0.0106,             0.00928,             0.00928,             0.00928
                  14,            0.055327,             0.01937,            0.011407,             0.51973,             0.32164,             0.29791,             0.14332,            0.047657,            0.014247,            0.011497,             0.00922,             0.00922,             0.00922
                  15,             0.05499,             0.02016,            0.011147,             0.56626,             0.33857,             0.36574,             0.15565,            0.044532,            0.013486,           0.0096642,             0.00916,             0.00916,             0.00916
                  16,            0.054708,            0.019397,            0.010978,             0.64216,             0.34518,             0.39167,             0.20732,             0.04492,            0.013337,            0.010079,              0.0091,              0.0091,              0.0091
                  17,            0.054635,            0.019217,            0.010438,             0.59993,             0.34495,              0.3872,             0.18885,            0.044123,            0.013215,           0.0090973,             0.00904,             0.00904,             0.00904
                  18,            0.055018,            0.019777,            0.011149,             0.60883,             0.36223,             0.40542,             0.19246,            0.045508,            0.012859,           0.0078305,             0.00898,             0.00898,             0.00898
                  19,            0.054542,            0.020111,            0.011378,             0.63075,             0.41436,             0.41924,              0.2289,            0.041882,            0.012788,           0.0084111,             0.00892,             0.00892,             0.00892
                  20,            0.054415,            0.020277,            0.010696,             0.57196,             0.38122,             0.37021,             0.19002,            0.044766,             0.01343,           0.0078815,             0.00886,             0.00886,             0.00886
                  21,            0.053254,            0.019419,            0.010706,             0.42202,             0.51618,             0.49578,             0.25221,             0.04268,            0.012872,           0.0084872,              0.0088,              0.0088,              0.0088
                  22,            0.052308,            0.019705,           0.0099849,             0.51948,             0.51852,              0.4883,             0.23917,            0.043615,            0.012647,           0.0071827,             0.00874,             0.00874,             0.00874
                  23,            0.052338,            0.018801,             0.01033,             0.48987,             0.46143,             0.45962,             0.24532,            0.043972,            0.012452,           0.0095795,             0.00868,             0.00868,             0.00868
                  24,            0.052354,             0.01957,            0.010928,             0.54428,             0.40683,             0.39022,             0.21235,            0.043005,            0.013113,           0.0074028,             0.00862,             0.00862,             0.00862
                  25,            0.051542,            0.020046,           0.0095702,             0.59615,              0.4836,             0.49988,              0.2509,            0.044407,            0.012943,           0.0074257,             0.00856,             0.00856,             0.00856
                  26,            0.051981,            0.019316,           0.0093471,             0.55905,             0.44661,             0.47129,             0.23866,            0.042638,            0.013279,           0.0088652,              0.0085,              0.0085,              0.0085
                  27,            0.051783,            0.018251,           0.0093777,             0.53372,             0.47833,             0.47139,             0.24277,            0.044369,            0.013265,           0.0080696,             0.00844,             0.00844,             0.00844
                  28,            0.052191,            0.020365,            0.010175,             0.50033,             0.42754,             0.39376,             0.19705,            0.043493,            0.013028,            0.008054,             0.00838,             0.00838,             0.00838
                  29,            0.051183,            0.018857,           0.0094179,             0.50717,             0.48163,             0.51719,             0.26636,            0.042165,            0.012757,           0.0075347,             0.00832,             0.00832,             0.00832
                  30,            0.051256,            0.020208,           0.0095294,             0.49312,             0.50829,             0.48952,             0.26272,            0.041509,            0.013445,           0.0064514,             0.00826,             0.00826,             0.00826
                  31,            0.050846,            0.019461,           0.0095129,             0.50662,              0.5227,             0.49494,             0.26139,            0.041957,            0.013031,           0.0063647,              0.0082,              0.0082,              0.0082
                  32,            0.051452,            0.019806,           0.0095013,              0.4661,             0.54072,             0.50837,             0.27464,            0.040461,            0.012637,           0.0074892,             0.00814,             0.00814,             0.00814
                  33,            0.050249,            0.019723,           0.0092257,             0.47211,             0.47263,             0.46969,             0.24912,            0.042909,            0.013162,           0.0084537,             0.00808,             0.00808,             0.00808
                  34,            0.050412,            0.019176,           0.0091889,             0.46882,             0.45172,             0.44715,             0.23984,            0.043638,            0.012716,           0.0081161,             0.00802,             0.00802,             0.00802
                  35,             0.05012,            0.018751,           0.0087634,             0.60934,             0.45601,             0.48252,             0.24557,            0.040942,            0.012759,           0.0074779,             0.00796,             0.00796,             0.00796
                  36,            0.050088,            0.020025,           0.0090446,             0.44934,             0.49865,             0.47471,             0.26178,            0.042642,            0.012832,           0.0078895,              0.0079,              0.0079,              0.0079
                  37,            0.050339,            0.018943,           0.0087831,              0.5628,             0.41145,             0.47157,             0.24002,            0.042969,            0.012744,           0.0073633,             0.00784,             0.00784,             0.00784
                  38,            0.049875,            0.019779,           0.0088239,             0.48692,             0.44381,             0.40859,             0.19842,            0.043846,            0.013194,           0.0073286,             0.00778,             0.00778,             0.00778
                  39,            0.050201,            0.019061,           0.0085007,             0.50162,             0.39524,             0.42155,             0.23358,            0.045465,            0.012829,           0.0075384,             0.00772,             0.00772,             0.00772
                  40,            0.050206,            0.018897,           0.0085076,             0.62858,             0.50788,             0.53718,             0.28617,            0.042687,            0.012385,           0.0061778,             0.00766,             0.00766,             0.00766
                  41,             0.04892,            0.019329,           0.0082977,             0.53641,              0.5093,             0.47536,             0.25081,            0.042196,             0.01263,           0.0061837,              0.0076,              0.0076,              0.0076
                  42,            0.049835,            0.018536,           0.0086048,             0.52386,             0.42578,             0.44417,             0.23985,            0.042962,            0.013842,           0.0083832,             0.00754,             0.00754,             0.00754
                  43,            0.050029,            0.019266,           0.0089985,             0.56085,             0.41709,             0.43547,              0.2241,              0.0448,            0.012968,           0.0090301,             0.00748,             0.00748,             0.00748
                  44,            0.047593,            0.018739,           0.0080119,             0.47342,              0.5166,             0.47786,             0.25402,            0.040969,            0.012697,            0.007826,             0.00742,             0.00742,             0.00742
                  45,            0.048132,            0.018535,           0.0078267,             0.44092,             0.50463,             0.46125,             0.24065,            0.042662,            0.013095,           0.0086149,             0.00736,             0.00736,             0.00736
                  46,            0.048303,            0.018697,           0.0077354,             0.50944,             0.44126,             0.43339,             0.22416,            0.042723,            0.013163,           0.0093298,              0.0073,              0.0073,              0.0073
                  47,            0.047382,             0.01826,           0.0076056,             0.51182,             0.49205,             0.46229,             0.24358,            0.041264,            0.013097,           0.0064421,             0.00724,             0.00724,             0.00724
                  48,            0.047813,            0.018423,           0.0076087,              0.4779,             0.44706,             0.44381,             0.23969,            0.041636,            0.012931,           0.0080498,             0.00718,             0.00718,             0.00718
                  49,            0.047787,            0.018978,           0.0074786,             0.51505,             0.44899,             0.44836,              0.2309,            0.041169,            0.013404,           0.0074445,             0.00712,             0.00712,             0.00712
                  50,            0.047108,            0.018332,           0.0070998,             0.50205,             0.45191,             0.45953,             0.24589,            0.042808,            0.013381,           0.0062205,             0.00706,             0.00706,             0.00706
                  51,            0.048989,            0.018229,           0.0077267,             0.51098,             0.43235,             0.44801,             0.24178,            0.043868,            0.013211,           0.0064741,               0.007,               0.007,               0.007
                  52,              0.0484,            0.019385,           0.0077963,             0.50403,             0.39119,             0.40709,             0.20914,            0.045636,            0.013883,           0.0093846,             0.00694,             0.00694,             0.00694
                  53,            0.047351,            0.018689,           0.0076983,             0.51561,             0.42479,             0.44247,             0.22222,            0.043051,            0.013164,           0.0070283,             0.00688,             0.00688,             0.00688
                  54,            0.047226,            0.019217,           0.0077679,             0.49171,             0.41891,             0.41986,             0.21027,            0.043674,            0.013269,           0.0072077,             0.00682,             0.00682,             0.00682
                  55,            0.048409,            0.017898,           0.0076054,             0.57002,             0.43371,             0.45429,             0.25326,            0.041064,            0.012506,           0.0075831,             0.00676,             0.00676,             0.00676
                  56,             0.04736,            0.017838,           0.0073063,             0.50814,             0.43542,             0.41988,             0.23677,            0.040563,            0.012809,           0.0088011,              0.0067,              0.0067,              0.0067
                  57,            0.046737,            0.018006,           0.0070501,             0.48907,             0.39016,              0.3915,             0.18974,            0.042625,            0.013578,           0.0090852,             0.00664,             0.00664,             0.00664
                  58,            0.047043,            0.018139,           0.0069906,             0.54468,             0.44736,             0.45971,             0.24571,            0.041527,            0.012967,           0.0067082,             0.00658,             0.00658,             0.00658
                  59,            0.046313,            0.017899,           0.0071405,             0.43494,             0.51402,             0.46022,             0.24857,            0.040557,            0.013199,           0.0070901,             0.00652,             0.00652,             0.00652
                  60,            0.047347,            0.018038,           0.0073842,               0.482,             0.42536,             0.42664,             0.22913,            0.041473,            0.012947,           0.0069562,             0.00646,             0.00646,             0.00646
                  61,            0.045945,            0.018501,           0.0069428,             0.45033,             0.51985,             0.47729,             0.25156,            0.042353,            0.012864,           0.0067958,              0.0064,              0.0064,              0.0064
                  62,            0.045792,            0.017328,           0.0062826,              0.4938,             0.41053,             0.43052,              0.2348,            0.041986,            0.014267,           0.0070139,             0.00634,             0.00634,             0.00634
                  63,            0.045694,            0.018115,           0.0066382,             0.54828,             0.46156,             0.48503,             0.25991,            0.040552,            0.013074,            0.006405,             0.00628,             0.00628,             0.00628
                  64,            0.046201,            0.018083,           0.0070043,             0.67397,             0.45602,             0.48817,             0.24404,             0.03977,              0.0129,           0.0063257,             0.00622,             0.00622,             0.00622
                  65,            0.045816,            0.018044,           0.0064749,             0.51513,             0.50849,             0.52541,             0.29022,            0.041077,            0.013309,           0.0063049,             0.00616,             0.00616,             0.00616
                  66,             0.04537,            0.018214,           0.0067383,             0.52422,             0.45268,             0.48396,              0.2448,            0.043303,            0.013162,           0.0062654,              0.0061,              0.0061,              0.0061
                  67,             0.04648,            0.018264,            0.006463,             0.51764,             0.44354,             0.44276,             0.23509,            0.045996,            0.013542,           0.0068798,             0.00604,             0.00604,             0.00604
                  68,            0.045617,            0.017856,           0.0063838,             0.51204,             0.39267,             0.44467,             0.23907,            0.042697,            0.013242,           0.0074946,             0.00598,             0.00598,             0.00598
                  69,            0.046427,             0.01838,           0.0067185,             0.39654,             0.43678,             0.40982,             0.22125,            0.042294,            0.013819,           0.0068384,             0.00592,             0.00592,             0.00592
                  70,            0.044609,            0.016999,           0.0060639,             0.48485,             0.49971,             0.45305,             0.23652,            0.040589,             0.01338,           0.0060086,             0.00586,             0.00586,             0.00586
                  71,            0.045599,            0.017657,           0.0063492,             0.49361,             0.50277,             0.45835,             0.24984,            0.041367,            0.012989,           0.0070465,              0.0058,              0.0058,              0.0058
                  72,            0.045015,            0.017067,           0.0063788,             0.53857,             0.44983,             0.46006,             0.23938,            0.043046,            0.013485,           0.0074798,             0.00574,             0.00574,             0.00574
                  73,            0.044744,            0.017093,           0.0064452,             0.46553,              0.4152,             0.39864,             0.22087,            0.043846,            0.013638,           0.0078635,             0.00568,             0.00568,             0.00568
                  74,            0.044229,            0.017891,           0.0061628,             0.45484,             0.44045,             0.42229,             0.23155,            0.042656,             0.01376,           0.0066463,             0.00562,             0.00562,             0.00562
                  75,             0.04517,            0.017738,            0.006599,             0.53768,             0.53311,             0.50353,             0.27332,             0.04207,            0.013465,            0.007064,             0.00556,             0.00556,             0.00556
                  76,            0.044449,            0.017586,           0.0061568,             0.49229,             0.46509,             0.45174,             0.24562,            0.041767,            0.013085,           0.0073231,              0.0055,              0.0055,              0.0055
                  77,            0.043839,            0.017551,           0.0061517,             0.48811,             0.46235,             0.45367,             0.23652,            0.041204,             0.01344,           0.0088824,             0.00544,             0.00544,             0.00544
                  78,            0.044278,            0.017034,            0.006269,             0.51653,              0.5307,             0.48853,             0.24906,            0.043011,            0.013631,           0.0064976,             0.00538,             0.00538,             0.00538
                  79,            0.043422,            0.016154,            0.005979,             0.54858,             0.40688,             0.43341,             0.22993,            0.042849,            0.014228,           0.0059837,             0.00532,             0.00532,             0.00532
                  80,            0.043685,            0.017673,           0.0059731,             0.51083,             0.52122,             0.50023,             0.26372,            0.040332,            0.013379,           0.0067084,             0.00526,             0.00526,             0.00526
                  81,            0.043529,            0.017344,           0.0062306,             0.45597,             0.47228,             0.44459,             0.22947,            0.043463,            0.013611,           0.0069972,              0.0052,              0.0052,              0.0052
                  82,            0.043188,            0.017071,            0.005924,             0.47856,             0.45664,              0.4519,             0.24135,            0.043281,            0.013578,           0.0069363,             0.00514,             0.00514,             0.00514
                  83,            0.043577,            0.017729,           0.0057997,             0.57418,             0.48635,             0.48219,             0.26117,            0.041048,            0.013048,           0.0080174,             0.00508,             0.00508,             0.00508
                  84,            0.043345,            0.017063,           0.0052325,             0.49578,             0.45025,             0.43813,              0.2368,            0.043046,            0.013675,           0.0083732,             0.00502,             0.00502,             0.00502
                  85,            0.043508,            0.016698,           0.0057159,             0.48474,              0.5275,             0.47744,             0.26449,             0.04069,            0.013386,           0.0075225,             0.00496,             0.00496,             0.00496
                  86,            0.042608,             0.01739,           0.0055649,             0.63204,             0.40939,             0.46552,             0.25589,            0.042274,            0.013326,           0.0076078,              0.0049,              0.0049,              0.0049
                  87,            0.042725,            0.017142,           0.0056303,             0.45063,             0.52806,             0.46488,             0.24369,            0.043992,            0.014044,           0.0070685,             0.00484,             0.00484,             0.00484
                  88,             0.04358,            0.017545,           0.0060091,              0.5573,             0.45983,             0.46362,             0.25005,            0.042353,            0.013534,           0.0073941,             0.00478,             0.00478,             0.00478
                  89,            0.042572,             0.01637,           0.0054079,             0.48213,             0.45498,             0.46516,             0.24695,            0.042929,            0.013784,           0.0059224,             0.00472,             0.00472,             0.00472
                  90,            0.042713,            0.017324,           0.0058841,             0.51724,             0.43005,             0.45247,             0.25286,            0.042083,            0.014215,           0.0071344,             0.00466,             0.00466,             0.00466
                  91,            0.042927,            0.017616,           0.0056272,             0.47099,             0.50372,              0.4603,             0.24542,            0.042026,            0.013744,           0.0078523,              0.0046,              0.0046,              0.0046
                  92,            0.042398,            0.016301,           0.0054458,             0.44578,              0.5657,             0.50121,             0.27663,            0.041173,            0.013366,           0.0059413,             0.00454,             0.00454,             0.00454
                  93,            0.042664,            0.016621,           0.0054933,             0.60608,             0.46946,             0.50539,             0.27519,            0.042634,              0.0138,           0.0058736,             0.00448,             0.00448,             0.00448
                  94,            0.043292,            0.016888,           0.0054347,              0.5244,             0.45372,             0.43276,             0.23374,            0.043461,            0.014265,           0.0068167,             0.00442,             0.00442,             0.00442
