               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.033975,            0.048464,            0.002214,             0.21514,           0.0025798,          0.00074932,            0.078558,            0.025754,            0.044283,              0.0847,              0.0017,              0.0017
                   1,            0.078201,            0.034667,            0.039516,             0.65209,            0.074749,            0.021969,           0.0068532,            0.065825,            0.026007,            0.033765,            0.067807,            0.002807,            0.002807
                   2,            0.065843,            0.033624,            0.032663,             0.63697,             0.19767,             0.15762,            0.064493,            0.058823,            0.023915,            0.027146,            0.050201,           0.0032012,           0.0032012
                   3,            0.061435,            0.031564,            0.028275,             0.62486,             0.25621,             0.20716,            0.087646,            0.054173,            0.022124,            0.021812,            0.031883,           0.0028826,           0.0028826
                   4,            0.057337,            0.030806,            0.025579,             0.65043,             0.26146,             0.26551,              0.1132,            0.051544,            0.021169,            0.018961,            0.012851,           0.0018512,           0.0018512
