               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093413,            0.034247,            0.045593,             0.60733,            0.072581,           0.0075429,           0.0019111,             0.07327,             0.02075,            0.038653,            0.070833,           0.0032407,           0.0032407
                   1,            0.070117,            0.033265,            0.032541,             0.56189,             0.13384,            0.092216,            0.038052,            0.066656,            0.018785,            0.027454,            0.040812,           0.0065524,           0.0065524
                   2,            0.065952,            0.030135,            0.025908,             0.55362,             0.20622,             0.13481,            0.047455,            0.068892,             0.02084,            0.021052,            0.010768,            0.009842,            0.009842
                   3,            0.062391,            0.027549,            0.021044,             0.59237,             0.24287,             0.18219,            0.064762,            0.058686,            0.020439,            0.019143,            0.009901,            0.009901,            0.009901
                   4,             0.05818,            0.027119,            0.019918,             0.47232,             0.27062,               0.228,            0.095883,            0.053734,            0.021197,            0.018059,            0.009901,            0.009901,            0.009901
                   5,            0.054943,            0.026051,             0.01878,             0.51523,             0.32326,             0.27046,             0.12273,            0.051687,              0.0188,             0.01661,            0.009868,            0.009868,            0.009868
                   6,            0.052036,             0.02691,            0.018287,             0.54402,             0.37741,             0.32469,             0.15137,            0.046285,             0.01712,             0.01438,            0.009835,            0.009835,            0.009835
                   7,            0.051663,            0.026991,            0.015988,             0.54892,             0.37797,             0.32177,             0.14481,            0.049273,            0.018371,            0.021088,            0.009802,            0.009802,            0.009802
                   8,            0.050636,            0.025765,            0.016602,             0.63443,             0.38359,             0.38234,              0.1758,            0.046659,            0.015208,            0.012707,            0.009769,            0.009769,            0.009769
                   9,            0.051023,            0.027614,            0.014416,             0.46371,             0.40262,             0.37564,             0.16339,            0.047956,            0.016335,            0.012333,            0.009736,            0.009736,            0.009736
                  10,            0.048462,            0.026156,            0.015199,             0.48167,             0.42197,             0.35184,             0.17156,            0.046408,            0.016888,            0.013235,            0.009703,            0.009703,            0.009703
                  11,            0.047674,            0.026384,             0.01289,             0.46009,              0.4122,             0.38131,             0.18903,            0.045433,            0.015567,             0.01274,             0.00967,             0.00967,             0.00967
                  12,            0.047899,            0.025778,            0.013106,             0.40782,             0.51684,             0.41634,              0.2075,            0.043016,            0.015319,            0.012176,            0.009637,            0.009637,            0.009637
                  13,            0.046844,             0.02633,            0.012822,             0.47641,             0.45903,             0.42567,             0.21742,             0.04261,            0.014725,            0.011608,            0.009604,            0.009604,            0.009604
                  14,            0.047087,            0.026238,             0.01202,             0.38924,             0.39721,              0.3258,             0.15567,            0.048247,            0.015618,            0.011131,            0.009571,            0.009571,            0.009571
                  15,            0.046173,            0.025163,            0.012533,             0.54749,             0.49742,             0.47751,             0.24338,            0.041442,            0.014158,           0.0088538,            0.009538,            0.009538,            0.009538
                  16,            0.045811,            0.025214,            0.011451,             0.52327,             0.49881,             0.47443,              0.2282,            0.042636,             0.01454,           0.0079199,            0.009505,            0.009505,            0.009505
                  17,            0.044536,            0.024973,            0.011773,             0.50005,             0.48305,              0.4534,             0.21229,            0.044424,            0.014981,           0.0095567,            0.009472,            0.009472,            0.009472
                  18,            0.045011,            0.025348,            0.010418,             0.55882,             0.54672,             0.52677,              0.2634,            0.040683,            0.014053,            0.007111,            0.009439,            0.009439,            0.009439
                  19,            0.044667,            0.025956,            0.010276,             0.60455,             0.56857,             0.57034,             0.28875,            0.038892,            0.013544,           0.0063279,            0.009406,            0.009406,            0.009406
                  20,            0.044174,            0.025355,            0.010854,             0.59348,             0.51847,             0.51702,             0.25672,             0.04126,            0.014164,           0.0078241,            0.009373,            0.009373,            0.009373
                  21,            0.044427,            0.024956,            0.011047,              0.5244,              0.4906,              0.4561,              0.2297,            0.043012,            0.015137,           0.0075959,             0.00934,             0.00934,             0.00934
                  22,            0.044045,            0.025762,            0.010066,             0.60017,             0.58162,             0.58406,             0.31092,            0.037999,            0.013922,           0.0055997,            0.009307,            0.009307,            0.009307
                  23,            0.043254,            0.024466,           0.0096414,             0.56511,              0.5901,              0.5776,             0.27933,             0.04141,            0.013579,           0.0075772,            0.009274,            0.009274,            0.009274
                  24,            0.043676,            0.024613,           0.0099135,              0.5803,             0.56104,             0.57367,             0.29927,            0.039542,             0.01401,            0.006431,            0.009241,            0.009241,            0.009241
                  25,            0.043008,            0.024626,           0.0097737,             0.60659,             0.60218,             0.61557,             0.31353,             0.03904,            0.013327,           0.0066101,            0.009208,            0.009208,            0.009208
                  26,            0.043104,            0.024178,           0.0090828,             0.62494,             0.62224,             0.61974,             0.31857,             0.03791,            0.013782,           0.0055756,            0.009175,            0.009175,            0.009175
                  27,            0.042151,            0.025207,           0.0092138,              0.5732,             0.61732,              0.6068,             0.31071,            0.038119,            0.013682,           0.0061499,            0.009142,            0.009142,            0.009142
                  28,            0.041503,            0.024343,            0.008322,             0.61474,             0.64828,             0.67967,             0.36538,            0.036059,            0.012917,           0.0049338,            0.009109,            0.009109,            0.009109
                  29,            0.041399,            0.023542,           0.0085413,             0.66906,              0.6257,             0.67812,             0.35593,            0.035656,             0.01289,           0.0041907,            0.009076,            0.009076,            0.009076
                  30,            0.041499,            0.024291,           0.0076345,             0.62692,             0.66789,             0.65783,             0.35428,            0.035709,            0.012764,           0.0037922,            0.009043,            0.009043,            0.009043
                  31,            0.040934,            0.024584,           0.0077731,             0.69311,             0.62066,             0.66792,             0.35562,            0.037244,            0.012821,           0.0046739,             0.00901,             0.00901,             0.00901
