               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11266,            0.032055,            0.049676,          0.00031161,            0.075114,           0.0003432,          8.4617e-05,             0.10223,            0.025093,            0.050291,              0.0955,              0.0005,              0.0005
                   1,             0.10495,            0.029369,            0.049191,          0.00059381,              0.1233,          0.00062232,          0.00016562,            0.090374,            0.020502,            0.048764,            0.090096,           0.0010964,           0.0010964
                   2,            0.095873,            0.026428,            0.046512,          0.00092343,             0.19517,           0.0011456,            0.000309,            0.080537,            0.017622,            0.045638,            0.084689,           0.0016888,           0.0016888
                   3,            0.086447,            0.025154,            0.043127,           0.0013725,              0.2933,           0.0022212,          0.00052539,            0.072635,            0.016356,            0.041159,            0.079277,           0.0022772,           0.0022772
                   4,            0.079793,            0.027757,            0.041927,           0.0024406,             0.48091,           0.0058598,           0.0016402,             0.06971,            0.015488,            0.036414,            0.073862,           0.0028617,           0.0028617
                   5,            0.078032,            0.029162,            0.038441,             0.40254,             0.10312,            0.018111,            0.007664,            0.069063,            0.014984,            0.032719,            0.068442,           0.0034422,           0.0034422
                   6,            0.071157,            0.026311,            0.035512,             0.80513,             0.08125,            0.073599,            0.030775,             0.06537,            0.015557,            0.029966,            0.063019,           0.0040188,           0.0040188
                   7,            0.067531,            0.027325,             0.03251,             0.56678,             0.12556,            0.080382,             0.02883,             0.07114,            0.014706,            0.028121,            0.057591,           0.0045914,           0.0045914
                   8,            0.064401,            0.027891,            0.030607,             0.35097,             0.27386,             0.14105,            0.040841,            0.064465,            0.015538,            0.025822,             0.05216,           0.0051601,           0.0051601
                   9,            0.062947,            0.025649,            0.028277,             0.30649,             0.17386,            0.068253,            0.019406,            0.074284,            0.014914,            0.024429,            0.046725,           0.0057248,           0.0057248
                  10,            0.064298,            0.023034,            0.026422,             0.32302,             0.15824,            0.081806,            0.027434,            0.068501,            0.014663,            0.021369,            0.041285,           0.0062855,           0.0062855
                  11,            0.061417,            0.022981,            0.023066,             0.42432,             0.29261,             0.22778,            0.076691,            0.059255,            0.014934,            0.020892,            0.035842,           0.0068423,           0.0068423
                  12,            0.062755,            0.022931,            0.022637,              0.3292,             0.27074,            0.084361,            0.025758,            0.076568,            0.013443,            0.019239,            0.030395,           0.0073951,           0.0073951
                  13,            0.061084,            0.022563,            0.022136,             0.35047,             0.20824,            0.089125,            0.032828,            0.075454,             0.01258,             0.02155,            0.024944,           0.0079439,           0.0079439
                  14,            0.059957,            0.021019,            0.020437,             0.57811,             0.28827,             0.23338,            0.070888,            0.061444,             0.01471,            0.017795,            0.019489,           0.0084888,           0.0084888
                  15,            0.058249,            0.020893,            0.020261,              0.5309,             0.30511,              0.2025,            0.078695,            0.061203,             0.01401,            0.019723,             0.01403,           0.0090297,           0.0090297
                  16,            0.062839,            0.021497,            0.017083,              0.2451,             0.15937,             0.04032,            0.011687,            0.077723,            0.017561,            0.020962,            0.009472,            0.009472,            0.009472
                  17,            0.060755,            0.018496,            0.015612,             0.34545,             0.38722,             0.14448,            0.053463,            0.062733,            0.015064,            0.019246,            0.009472,            0.009472,            0.009472
                  18,             0.05792,            0.019153,            0.016201,             0.50058,             0.22699,             0.17383,            0.052931,             0.06796,            0.021444,            0.026007,            0.009439,            0.009439,            0.009439
                  19,            0.057771,            0.021962,            0.014374,             0.32135,             0.23068,             0.11445,            0.031305,            0.077459,             0.02477,            0.021433,            0.009406,            0.009406,            0.009406
                  20,            0.059012,            0.019552,            0.013918,             0.42822,               0.258,             0.13696,            0.040209,            0.063835,             0.02658,            0.020581,            0.009373,            0.009373,            0.009373
                  21,            0.056427,            0.018212,             0.01309,             0.38467,             0.35881,             0.16549,            0.064605,            0.062662,             0.02131,            0.024629,             0.00934,             0.00934,             0.00934
                  22,            0.053817,            0.018895,            0.013358,             0.52693,             0.22386,             0.11771,            0.034077,             0.06919,            0.027884,            0.035329,            0.009307,            0.009307,            0.009307
                  23,            0.056858,            0.018313,            0.014954,             0.38133,             0.38523,             0.15977,            0.062524,            0.063089,            0.016544,            0.028065,            0.009274,            0.009274,            0.009274
                  24,            0.052073,            0.019609,            0.011347,             0.46926,             0.39377,             0.28606,             0.12185,            0.061471,            0.015257,            0.028667,            0.009241,            0.009241,            0.009241
                  25,            0.049869,            0.018407,            0.010693,             0.58026,             0.34718,             0.29772,             0.12073,            0.056829,            0.011265,            0.024475,            0.009208,            0.009208,            0.009208
                  26,             0.05019,            0.016818,            0.014185,               0.499,             0.43539,             0.29631,             0.13171,             0.05578,            0.013062,            0.025375,            0.009175,            0.009175,            0.009175
                  27,            0.051696,            0.018551,            0.013772,             0.24955,             0.43847,             0.22236,             0.06783,            0.059906,            0.012371,            0.029418,            0.009142,            0.009142,            0.009142
                  28,            0.050677,            0.017137,            0.011683,             0.48578,             0.29517,             0.20426,            0.085803,            0.056145,            0.012426,            0.028979,            0.009109,            0.009109,            0.009109
                  29,            0.047516,            0.016724,           0.0096493,             0.19487,              0.3024,               0.176,            0.067632,             0.05855,            0.013725,            0.032018,            0.009076,            0.009076,            0.009076
                  30,            0.049008,            0.016498,           0.0090434,             0.84548,             0.12812,             0.17211,            0.063734,            0.064944,            0.013956,            0.029318,            0.009043,            0.009043,            0.009043
                  31,            0.050175,            0.018012,           0.0084553,             0.77219,             0.20112,             0.23141,             0.10188,            0.059534,             0.01698,            0.042312,             0.00901,             0.00901,             0.00901
                  32,            0.048191,            0.017942,           0.0084692,             0.23218,             0.27648,             0.21097,            0.080881,            0.061706,            0.013784,            0.019396,            0.008977,            0.008977,            0.008977
