               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.033974,            0.048464,           0.0021838,             0.21325,           0.0025588,          0.00073974,            0.078556,            0.025759,            0.044297,              0.0847,              0.0017,              0.0017
                   1,            0.077407,            0.034632,            0.039013,             0.67828,            0.085223,             0.03674,            0.012246,            0.064616,            0.025932,            0.032666,            0.068477,           0.0034769,           0.0034769
                   2,             0.06624,            0.032724,            0.031398,             0.60579,             0.18501,             0.13439,            0.043604,            0.060894,            0.023439,            0.026573,             0.05223,             0.00523,             0.00523
                   3,            0.064154,            0.029872,            0.025827,             0.56449,             0.22809,             0.17728,            0.069074,            0.059556,            0.021183,            0.019227,            0.035959,           0.0069594,           0.0069594
                   4,            0.062383,            0.028214,            0.022125,             0.46716,             0.30902,             0.24841,             0.10056,              0.0586,            0.023361,            0.014976,            0.019665,            0.008665,            0.008665
                   5,            0.059913,            0.026165,            0.019586,             0.49003,             0.31596,             0.29727,             0.11777,            0.052901,            0.026377,            0.019474,             0.00967,             0.00967,             0.00967
                   6,            0.055425,            0.026569,            0.018744,              0.4937,             0.32202,             0.21661,            0.091639,            0.056842,            0.033434,            0.015854,             0.00967,             0.00967,             0.00967
                   7,            0.053908,            0.026488,            0.017392,             0.57816,              0.2908,             0.31519,             0.12407,            0.054647,             0.02374,            0.013806,            0.009604,            0.009604,            0.009604
                   8,            0.052214,            0.026595,            0.016834,              0.6025,             0.28774,             0.36462,             0.15617,             0.04962,            0.019408,            0.012758,            0.009538,            0.009538,            0.009538
                   9,            0.051384,            0.027073,            0.015484,             0.44125,             0.30248,             0.30304,             0.15318,             0.05061,            0.020244,            0.016383,            0.009472,            0.009472,            0.009472
                  10,            0.049174,            0.026345,            0.015092,             0.63097,             0.28718,              0.2934,             0.13632,            0.050628,            0.023297,            0.020262,            0.009406,            0.009406,            0.009406
                  11,            0.048837,            0.025563,            0.013502,             0.32618,             0.41458,             0.32261,             0.15934,            0.049408,            0.019685,            0.019606,             0.00934,             0.00934,             0.00934
                  12,            0.047435,            0.025746,            0.013616,             0.65795,             0.30503,             0.36683,             0.16779,            0.049936,            0.021002,             0.01576,            0.009274,            0.009274,            0.009274
                  13,            0.048561,            0.026976,            0.012941,             0.56482,             0.46771,             0.42862,             0.20878,            0.046642,            0.018966,            0.011088,            0.009208,            0.009208,            0.009208
                  14,            0.046821,            0.025431,            0.011986,             0.51388,             0.32666,             0.37565,             0.20126,            0.046638,            0.020262,            0.016821,            0.009142,            0.009142,            0.009142
                  15,             0.04576,            0.025014,             0.01209,             0.39851,             0.46011,             0.42703,             0.21537,            0.046814,            0.018999,            0.013392,            0.009076,            0.009076,            0.009076
                  16,            0.046027,            0.024812,            0.011352,             0.55083,              0.4128,             0.44667,             0.20142,             0.04655,            0.018412,            0.015151,             0.00901,             0.00901,             0.00901
                  17,            0.044939,            0.025079,            0.011273,             0.51485,             0.40368,             0.41317,             0.20926,            0.043488,            0.018933,            0.012453,            0.008944,            0.008944,            0.008944
                  18,            0.044769,            0.025032,            0.010651,             0.58285,             0.35503,             0.42544,             0.20189,            0.045515,             0.01941,            0.012909,            0.008878,            0.008878,            0.008878
                  19,            0.044884,            0.024678,            0.010245,             0.48493,              0.4228,             0.39747,             0.20903,            0.044839,             0.01872,            0.016627,            0.008812,            0.008812,            0.008812
                  20,            0.044308,            0.025147,           0.0099107,             0.55147,             0.38132,             0.42649,             0.21285,            0.044152,              0.0189,            0.014874,            0.008746,            0.008746,            0.008746
                  21,            0.043001,            0.024843,            0.010564,             0.46324,             0.37936,             0.40419,              0.1995,            0.045384,            0.019561,            0.014224,             0.00868,             0.00868,             0.00868
                  22,            0.042898,            0.025047,           0.0097132,             0.50841,             0.41673,             0.40829,             0.18706,            0.049839,            0.018817,            0.014356,            0.008614,            0.008614,            0.008614
                  23,            0.042696,            0.024756,           0.0092605,              0.5369,             0.45142,             0.47292,             0.24268,              0.0445,            0.019289,            0.011823,            0.008548,            0.008548,            0.008548
                  24,            0.042333,            0.024098,           0.0090806,             0.45069,             0.43349,             0.41811,             0.20111,            0.045363,            0.019026,            0.013092,            0.008482,            0.008482,            0.008482
                  25,            0.042434,            0.023983,           0.0086543,             0.55469,             0.39317,             0.42095,             0.19718,             0.04464,            0.018962,            0.017094,            0.008416,            0.008416,            0.008416
                  26,            0.042188,            0.024431,           0.0079345,             0.55256,              0.3966,             0.43019,             0.21805,            0.042711,            0.020295,            0.013282,             0.00835,             0.00835,             0.00835
                  27,            0.041827,            0.024034,           0.0083437,             0.43323,             0.40701,             0.36998,             0.17283,            0.043798,            0.020562,             0.01622,            0.008284,            0.008284,            0.008284
                  28,            0.041542,            0.024113,            0.007849,             0.49588,             0.38259,             0.44025,             0.22644,             0.04469,            0.019646,            0.013227,            0.008218,            0.008218,            0.008218
                  29,            0.040691,            0.023772,           0.0078191,             0.62418,             0.39933,             0.46991,             0.26181,            0.042841,            0.019645,            0.017533,            0.008152,            0.008152,            0.008152
                  30,             0.04041,            0.023494,           0.0083626,             0.53438,             0.46482,             0.49294,             0.26634,            0.043261,            0.019434,            0.013457,            0.008086,            0.008086,            0.008086
                  31,            0.039721,             0.02396,           0.0069802,              0.5929,             0.37773,             0.41794,             0.21391,            0.046051,            0.019717,            0.013078,             0.00802,             0.00802,             0.00802
                  32,            0.040731,            0.023851,           0.0074139,             0.52045,             0.41312,             0.41692,             0.21322,            0.043739,            0.019469,            0.014442,            0.007954,            0.007954,            0.007954
                  33,             0.04054,            0.023142,            0.007118,             0.54667,              0.4214,             0.45948,              0.2379,             0.04115,            0.018535,             0.01138,            0.007888,            0.007888,            0.007888
                  34,            0.038627,            0.023519,           0.0071496,             0.58007,             0.40002,             0.42163,             0.22488,            0.043788,            0.018762,            0.013257,            0.007822,            0.007822,            0.007822
                  35,            0.039647,            0.022344,           0.0070777,             0.50305,             0.44319,             0.46698,              0.2449,            0.042987,            0.018754,            0.011571,            0.007756,            0.007756,            0.007756
                  36,            0.038809,            0.022256,           0.0072597,             0.50187,             0.46502,             0.45756,             0.24839,            0.041504,            0.019565,            0.015244,             0.00769,             0.00769,             0.00769
                  37,            0.039061,            0.022686,           0.0065867,             0.48747,             0.45344,             0.43064,             0.21989,             0.04392,            0.018597,            0.016082,            0.007624,            0.007624,            0.007624
                  38,            0.038508,            0.022759,           0.0062035,             0.45557,              0.3679,             0.38527,             0.20837,            0.042541,            0.020127,            0.015031,            0.007558,            0.007558,            0.007558
                  39,            0.038611,            0.022529,            0.005849,             0.51786,             0.46697,             0.46236,             0.25313,            0.042734,            0.020067,            0.012581,            0.007492,            0.007492,            0.007492
                  40,            0.037819,            0.021672,           0.0063688,             0.48899,             0.50229,             0.47675,             0.26755,            0.042315,            0.019946,            0.014298,            0.007426,            0.007426,            0.007426
                  41,            0.037978,            0.022572,           0.0057299,             0.50544,             0.46494,             0.44253,             0.23844,            0.044536,            0.020536,             0.01245,             0.00736,             0.00736,             0.00736
                  42,            0.036869,            0.022383,           0.0059413,             0.50544,             0.52321,             0.49338,              0.2702,            0.043233,            0.020319,            0.010623,            0.007294,            0.007294,            0.007294
