               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12449,            0.027826,            0.042828,          0.00091325,              0.2037,            0.010114,           0.0010486,             0.12542,            0.022515,            0.050449,              0.0937,              0.0007,              0.0007
                   1,             0.10951,            0.030873,            0.040637,           0.0027514,             0.57407,            0.047429,            0.010723,             0.10458,            0.026244,            0.045312,            0.086495,            0.001495,            0.001495
                   2,            0.093067,            0.030137,            0.038535,           0.0035233,             0.72222,             0.16311,            0.035115,            0.089938,            0.025673,            0.042045,            0.079285,           0.0022848,           0.0022848
                   3,             0.08214,            0.029444,            0.038008,           0.0023259,             0.57407,             0.17927,            0.039527,            0.074216,             0.02913,            0.037602,            0.072069,           0.0030693,           0.0030693
                   4,            0.075702,            0.028958,            0.037439,           0.0035911,             0.94444,            0.075626,            0.034015,             0.07277,            0.028445,            0.037194,            0.064849,           0.0038485,           0.0038485
                   5,            0.071107,            0.027965,            0.037021,           0.0034092,                   1,             0.16024,            0.068036,            0.069019,            0.023633,            0.037399,            0.057622,           0.0046225,           0.0046225
                   6,            0.065827,            0.027635,            0.036563,             0.22323,             0.19269,             0.34615,             0.12378,            0.062606,            0.022886,            0.037413,            0.050391,           0.0053911,           0.0053911
                   7,            0.063072,            0.026262,            0.036245,             0.33829,             0.33024,             0.36388,             0.17968,            0.058308,            0.022431,            0.036353,            0.043154,           0.0061545,           0.0061545
                   8,            0.057452,            0.024391,            0.036231,             0.33731,             0.31481,             0.33562,             0.21159,             0.05755,            0.019901,            0.036031,            0.035913,           0.0069126,           0.0069126
                   9,            0.066291,            0.022116,            0.036353,             0.23993,             0.44444,             0.30239,             0.11778,            0.059121,             0.01796,            0.036104,            0.028665,           0.0076654,           0.0076654
                  10,            0.060274,            0.025102,            0.035488,             0.27297,             0.61111,             0.36567,             0.20181,            0.057163,             0.01686,            0.035391,            0.021413,           0.0084129,           0.0084129
                  11,            0.063081,            0.018655,            0.035964,             0.30024,             0.44444,             0.43031,             0.16829,            0.067834,            0.015662,            0.034891,            0.014155,           0.0091552,           0.0091552
                  12,            0.065424,            0.020362,            0.035201,             0.40004,             0.31481,              0.3939,             0.11986,            0.068426,            0.015802,            0.034445,            0.009604,            0.009604,            0.009604
                  13,            0.059755,            0.021735,            0.035301,             0.21395,             0.35185,             0.40696,             0.17976,            0.050096,            0.016829,            0.034001,            0.009604,            0.009604,            0.009604
                  14,            0.054944,            0.025138,             0.03543,             0.34226,             0.47014,             0.49988,             0.18593,            0.052096,            0.015149,             0.03365,            0.009571,            0.009571,            0.009571
                  15,            0.055842,            0.019103,            0.034801,             0.29991,             0.64815,             0.43868,             0.17011,            0.046814,            0.015431,            0.032848,            0.009538,            0.009538,            0.009538
                  16,            0.053245,            0.017575,            0.034304,             0.43497,              0.5912,             0.55306,             0.24586,             0.04195,            0.014724,            0.032994,            0.009505,            0.009505,            0.009505
                  17,            0.047597,            0.017266,            0.034668,             0.24975,             0.50063,             0.38336,              0.1471,            0.043069,            0.014886,            0.031928,            0.009472,            0.009472,            0.009472
                  18,            0.047331,            0.018028,            0.033738,             0.32818,             0.66667,             0.48456,             0.23459,            0.047425,            0.012928,            0.031796,            0.009439,            0.009439,            0.009439
                  19,            0.048863,            0.016107,            0.033704,             0.41636,             0.72222,             0.50465,             0.22631,            0.045793,            0.013115,             0.03119,            0.009406,            0.009406,            0.009406
                  20,            0.044381,            0.015022,            0.033339,             0.39061,             0.94444,             0.59266,             0.25895,            0.047444,            0.012497,            0.030922,            0.009373,            0.009373,            0.009373
                  21,            0.046095,            0.015534,            0.033479,             0.48685,             0.99937,             0.60998,             0.27591,            0.037624,            0.013313,            0.030714,             0.00934,             0.00934,             0.00934
                  22,            0.041663,            0.014004,            0.032866,             0.57515,             0.77778,             0.75834,             0.36574,            0.039238,            0.011226,            0.030705,            0.009307,            0.009307,            0.009307
                  23,            0.043161,            0.013271,            0.033292,             0.55854,             0.83319,             0.72572,             0.31331,            0.039341,            0.010767,             0.03043,            0.009274,            0.009274,            0.009274
                  24,            0.039631,            0.014192,            0.032383,              0.5834,             0.87339,             0.70659,             0.38011,            0.037779,            0.010943,            0.030276,            0.009241,            0.009241,            0.009241
                  25,            0.040049,             0.01146,            0.031208,             0.63184,             0.88052,             0.70761,             0.32026,            0.034985,            0.010875,            0.030044,            0.009208,            0.009208,            0.009208
                  26,            0.039258,            0.010877,            0.032844,              0.5705,             0.88889,             0.72147,             0.39436,            0.034043,            0.010335,            0.029948,            0.009175,            0.009175,            0.009175
                  27,            0.037326,            0.011657,            0.031959,             0.68923,             0.88889,             0.76592,             0.43541,            0.033609,           0.0099283,            0.029821,            0.009142,            0.009142,            0.009142
                  28,            0.037668,            0.010601,            0.031675,             0.68814,             0.88889,             0.76663,             0.39815,            0.034512,           0.0099183,            0.029578,            0.009109,            0.009109,            0.009109
                  29,            0.037073,            0.011264,            0.032216,             0.66765,             0.88889,             0.79367,             0.44032,            0.033703,           0.0096673,            0.029512,            0.009076,            0.009076,            0.009076
                  30,            0.036098,            0.009264,            0.031501,             0.69442,             0.83893,              0.7747,              0.4278,            0.030332,           0.0090809,            0.029388,            0.009043,            0.009043,            0.009043
                  31,            0.034326,            0.011017,            0.031202,             0.66917,             0.88889,             0.77293,             0.37462,             0.03296,           0.0087046,            0.029257,             0.00901,             0.00901,             0.00901
                  32,            0.035214,            0.010595,            0.031569,             0.69217,                   1,             0.80519,             0.45392,            0.032738,           0.0082808,            0.029028,            0.008977,            0.008977,            0.008977
                  33,             0.03425,           0.0088299,            0.030698,             0.68823,             0.88889,             0.82745,             0.48439,            0.034384,           0.0080307,            0.028742,            0.008944,            0.008944,            0.008944
                  34,            0.034964,           0.0092555,             0.03028,             0.70273,             0.96937,             0.86468,              0.4753,            0.031439,           0.0079736,            0.028485,            0.008911,            0.008911,            0.008911
                  35,            0.034602,            0.009769,             0.03142,             0.73824,             0.94444,             0.91581,             0.53001,            0.028772,            0.007522,             0.02812,            0.008878,            0.008878,            0.008878
                  36,            0.034083,           0.0090727,            0.029698,             0.74523,             0.96254,             0.87651,             0.48776,            0.025267,           0.0077385,            0.027586,            0.008845,            0.008845,            0.008845
                  37,            0.032688,           0.0077866,            0.030014,             0.67822,               0.986,             0.91817,             0.45944,            0.027821,           0.0077291,            0.027109,            0.008812,            0.008812,            0.008812
                  38,             0.03131,           0.0093438,            0.029733,             0.70737,             0.94444,              0.9497,             0.51298,             0.02962,           0.0075456,            0.026707,            0.008779,            0.008779,            0.008779
                  39,            0.033398,           0.0081914,            0.030392,             0.72989,                   1,             0.93722,             0.53787,            0.025609,            0.007449,            0.026202,            0.008746,            0.008746,            0.008746
                  40,            0.033857,           0.0081497,            0.028286,             0.85092,                   1,               0.995,             0.63096,             0.02434,           0.0078946,              0.0255,            0.008713,            0.008713,            0.008713
                  41,            0.031049,           0.0079249,            0.027013,             0.67307,                   1,             0.87093,             0.48179,             0.02385,           0.0079068,            0.024739,             0.00868,             0.00868,             0.00868
                  42,             0.03158,           0.0078975,            0.028254,             0.90111,             0.99783,               0.984,             0.65117,            0.029863,           0.0076668,            0.024277,            0.008647,            0.008647,            0.008647
                  43,            0.033362,           0.0080953,            0.026866,             0.92598,                   1,               0.995,             0.58933,            0.027745,           0.0076027,            0.023359,            0.008614,            0.008614,            0.008614
                  44,            0.032785,           0.0076913,            0.026748,             0.93275,                   1,               0.995,             0.57175,             0.02796,           0.0076588,            0.022446,            0.008581,            0.008581,            0.008581
                  45,            0.030001,           0.0068777,            0.023528,              0.9454,                   1,               0.995,             0.68235,            0.023122,            0.007285,            0.021792,            0.008548,            0.008548,            0.008548
                  46,            0.031097,           0.0073357,            0.023703,             0.78323,                   1,             0.94393,             0.56135,            0.026016,           0.0073927,            0.021076,            0.008515,            0.008515,            0.008515
                  47,            0.030825,           0.0073675,            0.023402,             0.92437,             0.99878,               0.995,             0.61853,            0.027212,           0.0075662,            0.020182,            0.008482,            0.008482,            0.008482
                  48,            0.030204,           0.0077915,            0.022356,             0.94814,                   1,             0.99133,             0.62873,            0.026524,           0.0072931,            0.019582,            0.008449,            0.008449,            0.008449
                  49,            0.031453,           0.0076908,            0.021547,             0.89122,                   1,               0.975,             0.69744,            0.025932,           0.0072311,            0.018788,            0.008416,            0.008416,            0.008416
                  50,            0.031378,           0.0077418,            0.021793,             0.98603,                   1,               0.995,             0.68635,            0.021792,           0.0069925,            0.018241,            0.008383,            0.008383,            0.008383
                  51,             0.03124,           0.0068452,            0.021768,             0.98876,                   1,               0.995,             0.79224,            0.020907,           0.0070426,             0.01731,             0.00835,             0.00835,             0.00835
                  52,            0.029827,            0.007714,            0.019923,             0.98407,                   1,               0.995,             0.72368,            0.022413,           0.0071786,            0.016563,            0.008317,            0.008317,            0.008317
                  53,            0.028825,           0.0076244,            0.018916,             0.88566,                   1,             0.98019,             0.60718,             0.02915,           0.0068555,             0.01567,            0.008284,            0.008284,            0.008284
                  54,            0.032074,           0.0069697,             0.02085,             0.98308,                   1,               0.995,             0.68813,            0.025581,           0.0069713,            0.014821,            0.008251,            0.008251,            0.008251
                  55,            0.029198,           0.0074714,            0.017896,             0.97968,                   1,               0.995,             0.67243,            0.027564,           0.0069949,            0.013863,            0.008218,            0.008218,            0.008218
                  56,            0.028436,            0.007061,            0.017428,             0.97249,                   1,               0.995,             0.69313,            0.026533,           0.0066949,            0.012778,            0.008185,            0.008185,            0.008185
                  57,            0.028593,           0.0068249,            0.016188,             0.87163,                   1,              0.9675,             0.70984,            0.026006,           0.0068001,            0.011548,            0.008152,            0.008152,            0.008152
                  58,            0.029826,           0.0071904,             0.01563,             0.95095,                   1,             0.98767,             0.68636,            0.029445,           0.0071272,            0.010278,            0.008119,            0.008119,            0.008119
                  59,            0.029175,            0.007184,            0.014395,             0.98085,                   1,               0.995,             0.71907,            0.022299,           0.0069674,           0.0094838,            0.008086,            0.008086,            0.008086
                  60,            0.029763,           0.0070453,            0.014095,             0.91485,                   1,             0.97119,             0.71848,            0.023258,           0.0065477,           0.0085924,            0.008053,            0.008053,            0.008053
                  61,            0.027601,           0.0076327,            0.011999,             0.95992,             0.99956,               0.995,             0.75239,            0.025038,           0.0064815,           0.0080372,             0.00802,             0.00802,             0.00802
                  62,            0.029472,           0.0066242,            0.010947,             0.98698,                   1,               0.995,             0.78165,             0.02672,           0.0063777,           0.0074402,            0.007987,            0.007987,            0.007987
