               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10148,            0.033975,            0.048464,            0.002214,             0.21514,           0.0025798,          0.00074932,            0.078558,            0.025754,            0.044283,              0.0847,              0.0017,              0.0017
                   1,            0.077372,            0.034632,            0.038988,             0.66452,            0.086955,             0.03021,           0.0090594,            0.065543,            0.025692,            0.032705,            0.068488,           0.0034885,           0.0034885
                   2,            0.065638,            0.032654,            0.031065,             0.56153,             0.18106,             0.14892,            0.059115,             0.06044,            0.024569,            0.025691,            0.052265,            0.005265,            0.005265
                   3,             0.06397,            0.029477,            0.025302,             0.54647,              0.2699,             0.17668,            0.065773,            0.062319,             0.02154,            0.018014,             0.03603,           0.0070297,           0.0070297
                   4,            0.062314,            0.028168,            0.022077,             0.42939,             0.25875,             0.20769,            0.073579,            0.062924,            0.023987,            0.015957,            0.019783,           0.0087825,           0.0087825
                   5,            0.060028,            0.026168,             0.01964,             0.40449,             0.27749,             0.19366,             0.06421,            0.058368,             0.02373,            0.018211,            0.009835,            0.009835,            0.009835
                   6,            0.055725,            0.026464,            0.018913,             0.40346,             0.34829,             0.22646,            0.080597,            0.058142,            0.030001,            0.015213,            0.009835,            0.009835,            0.009835
                   7,            0.053954,            0.026402,            0.016984,             0.52461,             0.29845,             0.28936,             0.12009,            0.056204,            0.025786,            0.016206,            0.009802,            0.009802,            0.009802
                   8,            0.052001,            0.026503,            0.016942,             0.28016,             0.37662,             0.32679,             0.13481,             0.05013,            0.023934,            0.018298,            0.009769,            0.009769,            0.009769
                   9,            0.050915,            0.027121,            0.015148,             0.43188,             0.32201,             0.31761,             0.15313,             0.05504,            0.019309,            0.025527,            0.009736,            0.009736,            0.009736
                  10,            0.049262,             0.02629,            0.014849,              0.3129,              0.4189,              0.3536,             0.17963,            0.048049,            0.019281,            0.017874,            0.009703,            0.009703,            0.009703
                  11,            0.049244,            0.025451,            0.013723,             0.44741,             0.35641,              0.3263,             0.17569,            0.051877,            0.019206,            0.016924,             0.00967,             0.00967,             0.00967
                  12,            0.047302,            0.025723,             0.01309,             0.40993,             0.28094,             0.34172,             0.15958,            0.051389,            0.020343,            0.014488,            0.009637,            0.009637,            0.009637
                  13,             0.04796,            0.026902,            0.012421,             0.30082,             0.21705,             0.23907,             0.13174,            0.057874,            0.023834,            0.019592,            0.009604,            0.009604,            0.009604
                  14,            0.047063,            0.025391,            0.012323,             0.57585,             0.38097,             0.39543,             0.21642,            0.049385,            0.019652,             0.01548,            0.009571,            0.009571,            0.009571
                  15,            0.046338,            0.025086,            0.011828,             0.45195,             0.34323,             0.35053,             0.16938,            0.046751,            0.019425,            0.016603,            0.009538,            0.009538,            0.009538
                  16,            0.046052,            0.025017,            0.011822,             0.47014,              0.4847,               0.456,             0.21387,            0.043986,            0.018274,            0.012725,            0.009505,            0.009505,            0.009505
                  17,            0.045134,            0.025206,            0.011775,             0.46775,             0.42442,             0.41165,             0.22229,            0.044966,             0.02031,            0.014104,            0.009472,            0.009472,            0.009472
                  18,            0.045329,             0.02516,            0.010997,             0.52488,              0.4473,             0.46648,             0.21556,             0.04454,             0.01907,            0.014628,            0.009439,            0.009439,            0.009439
                  19,            0.044944,            0.024947,            0.010202,             0.49977,             0.40397,             0.40713,             0.20496,            0.044387,            0.018937,            0.014404,            0.009406,            0.009406,            0.009406
                  20,            0.044519,            0.025566,            0.010722,             0.54625,             0.40768,               0.419,              0.2148,            0.044715,            0.019295,            0.014759,            0.009373,            0.009373,            0.009373
                  21,            0.043413,             0.02505,            0.010981,             0.55161,             0.34911,             0.38638,             0.19149,            0.045617,            0.019687,            0.013756,             0.00934,             0.00934,             0.00934
                  22,            0.044127,            0.025229,            0.010255,             0.52677,             0.36988,             0.40493,             0.20852,            0.045436,            0.019393,            0.013598,            0.009307,            0.009307,            0.009307
                  23,            0.043536,            0.025284,           0.0092431,             0.38872,             0.39106,             0.35677,             0.19168,            0.047564,            0.020056,            0.017188,            0.009274,            0.009274,            0.009274
                  24,            0.042223,            0.024272,           0.0096979,             0.41672,             0.37232,             0.35481,             0.18125,            0.046519,            0.019823,             0.01882,            0.009241,            0.009241,            0.009241
                  25,             0.04279,            0.024059,           0.0092534,             0.51152,             0.41732,             0.44655,             0.22141,            0.044211,            0.020157,            0.013298,            0.009208,            0.009208,            0.009208
                  26,            0.043005,            0.024321,           0.0081264,             0.53795,             0.44217,              0.4626,             0.23922,            0.043405,            0.019469,            0.012638,            0.009175,            0.009175,            0.009175
                  27,            0.042557,            0.024378,           0.0091484,             0.40573,             0.39454,             0.36194,             0.18849,            0.043056,            0.020292,            0.015857,            0.009142,            0.009142,            0.009142
